Name,Prevalence (All),N (All),Weighted N (All),Prevalence (Most important driver/barrier),Statements,Priority,Driver/Barrier,AGE_GROUP: Prevalence (All),AGE_GROUP: N (All),AGE_GROUP: Weighted N (All),AGE_GROUP: Prevalence (Most important driver/barrier),AGE_GROUP: Statements,AGE Focus,GENDER: Prevalence (All),GENDER: N (All),GENDER: Weighted N (All),GENDER: Prevalence (Most important driver/barrier),GENDER: Statements,GENDER Focus,URBAN_RURAL: Prevalence (All),URBAN_RURAL: N (All),URBAN_RURAL: Weighted N (All),URBAN_RURAL: Prevalence (Most important driver/barrier),URBAN_RURAL: Statements,URBAN_RURAL Focus
Bonne situation financière de la famille : aide/soutien aux autres/ Ninɔmɛ akwɛ tɔn ɖagbe nú xwédo ɔ: alɔdó/alɔgɔ nú mɛ ɖevo lɛ,"future_user: 4.08% 
 nonuser: 3.01% 
 past_user: 5.51% 
 user: 13.22%","future_user: 4 
 nonuser: 9 
 past_user: 7 
 user: 39","future_user: 0.6 
 nonuser: 3.8 
 past_user: 3.0 
 user: 27.1","future_user: 0.0% 
 nonuser: 0.0% 
 past_user: 0.0% 
 user: 7.8%",,Low,driver,"16-20: 3.45% 
 21-30: 7.93% 
 31-45: 6.93%","16-20: 1 
 21-30: 26 
 31-45: 32","16-20: 0.1 
 21-30: 12.7 
 31-45: 21.7","16-20: 0.0% 
 21-30: 2.74% 
 31-45: 3.03%",,"21-30, 31-45","Femme Nyɔnu: 7.13% 
 Homme Sunnu: 7.28%","Femme Nyɔnu: 29 
 Homme Sunnu: 30","Femme Nyɔnu: 11.0 
 Homme Sunnu: 23.5","Femme Nyɔnu: 3.19% 
 Homme Sunnu: 2.43%",,"Femme Nyɔnu, Homme Sunnu","Rural: 9.25% 
 Semi-urbain: 3.5% 
 Urbain: 4.65%","Rural: 48 
 Semi-urbain: 9 
 Urbain: 2","Rural: 26.6 
 Semi-urbain: 4.4 
 Urbain: 3.4","Rural: 3.85% 
 Semi-urbain: 1.17% 
 Urbain: 0.0%",,Rural
Bonne situation financière de la famille : réduction des difficultés économiques/ Ninɔmɛ akwɛ tɔn ɖagbe nú xwédo ɔ: tagba akwɛ tɔn lɛ ɖiɖekpo,"future_user: 11.22% 
 nonuser: 2.01% 
 past_user: 9.45% 
 user: 19.66%","future_user: 11 
 nonuser: 6 
 past_user: 12 
 user: 58","future_user: 1.5 
 nonuser: 4.2 
 past_user: 2.0 
 user: 55.5","future_user: 0.0% 
 nonuser: 0.0% 
 past_user: 0.0% 
 user: 8.81%",,High,driver,"16-20: 6.9% 
 21-30: 10.98% 
 31-45: 10.61%","16-20: 2 
 21-30: 36 
 31-45: 49","16-20: 0.1 
 21-30: 14.1 
 31-45: 49.1","16-20: 0.0% 
 21-30: 1.22% 
 31-45: 4.76%",,31-45,"Femme Nyɔnu: 11.3% 
 Homme Sunnu: 9.95%","Femme Nyɔnu: 46 
 Homme Sunnu: 41","Femme Nyɔnu: 21.7 
 Homme Sunnu: 41.5","Femme Nyɔnu: 3.44% 
 Homme Sunnu: 2.91%",,"Femme Nyɔnu, Homme Sunnu","Rural: 12.14% 
 Semi-urbain: 8.17% 
 Urbain: 6.98%","Rural: 63 
 Semi-urbain: 21 
 Urbain: 3","Rural: 31.6 
 Semi-urbain: 26.7 
 Urbain: 4.9","Rural: 2.89% 
 Semi-urbain: 3.89% 
 Urbain: 2.33%",,"Rural, Semi-urbain, Urbain"
"Cycle menstruel irrégulier (au-delà de 28-32 jours), donc ne peut pas se fier aux méthodes calendaires/ Sunzán tɔn nɔ wá hwɛhwɛ ǎ (é nɔ xɔ azǎn kanɖé-tantɔn jɛ gban-nukún-we jɛji), enɛ wu ɔ, é sixu ganjɛ wlɛnwín sunzanwema tɔn lɛ wu ǎ","future_user: 1.02% 
 nonuser: 0.0% 
 past_user: 1.57% 
 user: 0.68%","future_user: 1 
 nonuser: 0 
 past_user: 2 
 user: 2","future_user: 0.2 
 nonuser: 0.0 
 past_user: 1.4 
 user: 1.0","future_user: 0.0% 
 nonuser: 0.0% 
 past_user: 0.0% 
 user: 0.0%",,Low,driver,"16-20: 0.0% 
 21-30: 0.61% 
 31-45: 0.65%","16-20: 0 
 21-30: 2 
 31-45: 3","16-20: 0.0 
 21-30: 0.7 
 31-45: 1.9","16-20: 0.0% 
 21-30: 0.0% 
 31-45: 0.0%",,"21-30, 31-45","Femme Nyɔnu: 0.98% 
 Homme Sunnu: 0.24%","Femme Nyɔnu: 4 
 Homme Sunnu: 1","Femme Nyɔnu: 2.1 
 Homme Sunnu: 0.5","Femme Nyɔnu: 0.0% 
 Homme Sunnu: 0.0%",,Femme Nyɔnu,"Rural: 0.58% 
 Semi-urbain: 0.39% 
 Urbain: 2.33%","Rural: 3 
 Semi-urbain: 1 
 Urbain: 1","Rural: 0.7 
 Semi-urbain: 0.5 
 Urbain: 1.4","Rural: 0.0% 
 Semi-urbain: 0.0% 
 Urbain: 0.0%",,Urbain
Davantage de respect entre les enfants (grâce à une différence d’âge plus grande)/ Mɛsísí nɔ sukpɔ́ ɖò vǐ lɛ tɛntin (ɖó vogbingbɔn e ɖò vǐ lɛ tɛntin é wutu),"future_user: 2.04% 
 nonuser: 0.33% 
 past_user: 0.0% 
 user: 2.71%","future_user: 2 
 nonuser: 1 
 past_user: 0 
 user: 8","future_user: 1.8 
 nonuser: 0.1 
 past_user: 0.0 
 user: 4.2","future_user: 0.0% 
 nonuser: 0.0% 
 past_user: 0.0% 
 user: 0.68%",,Low,driver,"16-20: 0.0% 
 21-30: 0.61% 
 31-45: 1.95%","16-20: 0 
 21-30: 2 
 31-45: 9","16-20: 0.0 
 21-30: 1.1 
 31-45: 5.1","16-20: 0.0% 
 21-30: 0.3% 
 31-45: 0.22%",,"21-30, 31-45","Femme Nyɔnu: 0.0% 
 Homme Sunnu: 2.67%","Femme Nyɔnu: 0 
 Homme Sunnu: 11","Femme Nyɔnu: 0.0 
 Homme Sunnu: 6.2","Femme Nyɔnu: 0.25% 
 Homme Sunnu: 0.24%",,Homme Sunnu,"Rural: 1.35% 
 Semi-urbain: 1.17% 
 Urbain: 2.33%","Rural: 7 
 Semi-urbain: 3 
 Urbain: 1","Rural: 3.5 
 Semi-urbain: 1.2 
 Urbain: 1.5","Rural: 0.0% 
 Semi-urbain: 0.78% 
 Urbain: 0.0%",,Semi-urbain
"Impossibilité de suivre son cycle menstruel naturel car n’est pas allée à l’école et ne sait pas compter/ É sixu xwedó sun e é nɔ mɔ ɖò jɔwamɔ linu é ǎ, ɖó é yì wemaxɔmɛ ǎ, bo ka sixu lɛ́ xà ǎ","future_user: 3.06% 
 nonuser: 0.33% 
 past_user: 1.57% 
 user: 1.02%","future_user: 3 
 nonuser: 1 
 past_user: 2 
 user: 3","future_user: 4.5 
 nonuser: 0.2 
 past_user: 1.3 
 user: 0.5","future_user: 0.0% 
 nonuser: 0.0% 
 past_user: 0.0% 
 user: 0.0%",,Low,driver,"16-20: 6.9% 
 21-30: 1.52% 
 31-45: 0.43%","16-20: 2 
 21-30: 5 
 31-45: 2","16-20: 0.2 
 21-30: 6.2 
 31-45: 0.0","16-20: 0.0% 
 21-30: 0.0% 
 31-45: 0.0%",,16-20,"Femme Nyɔnu: 1.72% 
 Homme Sunnu: 0.49%","Femme Nyɔnu: 7 
 Homme Sunnu: 2","Femme Nyɔnu: 6.4 
 Homme Sunnu: 0.1","Femme Nyɔnu: 0.0% 
 Homme Sunnu: 0.0%",,Femme Nyɔnu,"Rural: 1.54% 
 Semi-urbain: 0.39% 
 Urbain: 0.0%","Rural: 8 
 Semi-urbain: 1 
 Urbain: 0","Rural: 6.3 
 Semi-urbain: 0.2 
 Urbain: 0.0","Rural: 0.0% 
 Semi-urbain: 0.0% 
 Urbain: 0.0%",,Rural
Je ne sais pas/ Un ma tuùn a,"future_user: 9.18% 
 nonuser: 27.09% 
 past_user: 8.66% 
 user: 0.68%","future_user: 9 
 nonuser: 81 
 past_user: 11 
 user: 2","future_user: 7.2 
 nonuser: 57.6 
 past_user: 10.7 
 user: 0.3","future_user: 0.0% 
 nonuser: 0.0% 
 past_user: 0.0% 
 user: 1.02%",,Medium,driver,"16-20: 10.34% 
 21-30: 10.98% 
 31-45: 13.85%","16-20: 3 
 21-30: 36 
 31-45: 64","16-20: 0.1 
 21-30: 28.0 
 31-45: 47.7","16-20: 0.0% 
 21-30: 0.3% 
 31-45: 0.43%",,31-45,"Femme Nyɔnu: 12.29% 
 Homme Sunnu: 12.86%","Femme Nyɔnu: 50 
 Homme Sunnu: 53","Femme Nyɔnu: 35.8 
 Homme Sunnu: 40.0","Femme Nyɔnu: 0.49% 
 Homme Sunnu: 0.24%",,"Femme Nyɔnu, Homme Sunnu","Rural: 11.95% 
 Semi-urbain: 13.62% 
 Urbain: 13.95%","Rural: 62 
 Semi-urbain: 35 
 Urbain: 6","Rural: 52.3 
 Semi-urbain: 12.7 
 Urbain: 10.8","Rural: 0.39% 
 Semi-urbain: 0.39% 
 Urbain: 0.0%",,"Rural, Semi-urbain"
Je préfère ne pas répondre/ Un yí wǎn nú xósin ma yí gbe ǎ,"future_user: 5.1% 
 nonuser: 42.81% 
 past_user: 18.9% 
 user: 0.68%","future_user: 5 
 nonuser: 128 
 past_user: 24 
 user: 2","future_user: 5.8 
 nonuser: 189.3 
 past_user: 70.8 
 user: 1.4","future_user: 0.0% 
 nonuser: 0.0% 
 past_user: 0.0% 
 user: 0.0%",,Very high,driver,"16-20: 31.03% 
 21-30: 18.9% 
 31-45: 19.05%","16-20: 9 
 21-30: 62 
 31-45: 88","16-20: 15.6 
 21-30: 77.7 
 31-45: 174.0","16-20: 0.0% 
 21-30: 0.0% 
 31-45: 0.0%",,16-20,"Femme Nyɔnu: 17.2% 
 Homme Sunnu: 21.6%","Femme Nyɔnu: 70 
 Homme Sunnu: 89","Femme Nyɔnu: 112.0 
 Homme Sunnu: 155.3","Femme Nyɔnu: 0.0% 
 Homme Sunnu: 0.0%",,"Femme Nyɔnu, Homme Sunnu","Rural: 17.53% 
 Semi-urbain: 21.4% 
 Urbain: 30.23%","Rural: 91 
 Semi-urbain: 55 
 Urbain: 13","Rural: 133.2 
 Semi-urbain: 113.0 
 Urbain: 21.2","Rural: 0.0% 
 Semi-urbain: 0.0% 
 Urbain: 0.0%",,"Rural, Semi-urbain, Urbain"
La mère a davantage de temps en dehors des enfants : davantage de temps pour sa carrière/ Nɔ ɔ nɔ ɖó hwenu gègě ɖò vǐ lɛ gudo: hwenu gègě nú azɔ̌ tɔn,"future_user: 2.04% 
 nonuser: 0.67% 
 past_user: 3.15% 
 user: 5.76%","future_user: 2 
 nonuser: 2 
 past_user: 4 
 user: 17","future_user: 0.4 
 nonuser: 3.0 
 past_user: 0.8 
 user: 15.1","future_user: 0.0% 
 nonuser: 0.0% 
 past_user: 0.0% 
 user: 2.03%",,Low,driver,"16-20: 0.0% 
 21-30: 3.96% 
 31-45: 2.6%","16-20: 0 
 21-30: 13 
 31-45: 12","16-20: 0.0 
 21-30: 7.7 
 31-45: 11.5","16-20: 0.0% 
 21-30: 0.3% 
 31-45: 1.08%",,"21-30, 31-45","Femme Nyɔnu: 2.21% 
 Homme Sunnu: 3.88%","Femme Nyɔnu: 9 
 Homme Sunnu: 16","Femme Nyɔnu: 2.4 
 Homme Sunnu: 16.9","Femme Nyɔnu: 0.98% 
 Homme Sunnu: 0.49%",,"Femme Nyɔnu, Homme Sunnu","Rural: 3.85% 
 Semi-urbain: 1.17% 
 Urbain: 4.65%","Rural: 20 
 Semi-urbain: 3 
 Urbain: 2","Rural: 15.7 
 Semi-urbain: 0.6 
 Urbain: 3.0","Rural: 0.96% 
 Semi-urbain: 0.0% 
 Urbain: 2.33%",,Urbain
La mère a davantage de temps en dehors des enfants : davantage de temps pour suivre les pratiques religieuses/ Nɔ ɔ nɔ ɖó hwenu gègě ɖò vǐ lɛ gudo: é nɔ ɖó hwenu gègě nú sinsɛnzɔ́ lɛ,"future_user: 2.04% 
 nonuser: 0.0% 
 past_user: 1.57% 
 user: 3.05%","future_user: 2 
 nonuser: 0 
 past_user: 2 
 user: 9","future_user: 1.4 
 nonuser: 0.0 
 past_user: 1.9 
 user: 6.2","future_user: 0.0% 
 nonuser: 0.0% 
 past_user: 0.0% 
 user: 1.36%",,Low,driver,"16-20: 0.0% 
 21-30: 1.83% 
 31-45: 1.52%","16-20: 0 
 21-30: 6 
 31-45: 7","16-20: 0.0 
 21-30: 5.1 
 31-45: 4.5","16-20: 0.0% 
 21-30: 0.91% 
 31-45: 0.22%",,"21-30, 31-45","Femme Nyɔnu: 0.49% 
 Homme Sunnu: 2.67%","Femme Nyɔnu: 2 
 Homme Sunnu: 11","Femme Nyɔnu: 1.1 
 Homme Sunnu: 8.5","Femme Nyɔnu: 0.25% 
 Homme Sunnu: 0.73%",,Homme Sunnu,"Rural: 2.31% 
 Semi-urbain: 0.39% 
 Urbain: 0.0%","Rural: 12 
 Semi-urbain: 1 
 Urbain: 0","Rural: 9.5 
 Semi-urbain: 0.1 
 Urbain: 0.0","Rural: 0.77% 
 Semi-urbain: 0.0% 
 Urbain: 0.0%",,Rural
La mère a davantage de temps en dehors des enfants : maison propre/ Nɔ ɔ nɔ ɖó hwenu gègě ɖò vǐ lɛ sín kɔ́xota: xwé e mɛ́ é ɖé,"future_user: 3.06% 
 nonuser: 0.33% 
 past_user: 1.57% 
 user: 5.42%","future_user: 3 
 nonuser: 1 
 past_user: 2 
 user: 16","future_user: 0.3 
 nonuser: 0.2 
 past_user: 0.0 
 user: 15.8","future_user: 0.0% 
 nonuser: 0.0% 
 past_user: 0.0% 
 user: 3.05%",,Low,driver,"16-20: 3.45% 
 21-30: 3.66% 
 31-45: 1.95%","16-20: 1 
 21-30: 12 
 31-45: 9","16-20: 0.0 
 21-30: 7.8 
 31-45: 8.5","16-20: 0.0% 
 21-30: 1.52% 
 31-45: 0.87%",,21-30,"Femme Nyɔnu: 1.23% 
 Homme Sunnu: 4.13%","Femme Nyɔnu: 5 
 Homme Sunnu: 17","Femme Nyɔnu: 5.8 
 Homme Sunnu: 10.5","Femme Nyɔnu: 0.49% 
 Homme Sunnu: 1.7%",,Homme Sunnu,"Rural: 3.85% 
 Semi-urbain: 0.39% 
 Urbain: 2.33%","Rural: 20 
 Semi-urbain: 1 
 Urbain: 1","Rural: 14.8 
 Semi-urbain: 0.0 
 Urbain: 1.5","Rural: 0.77% 
 Semi-urbain: 1.95% 
 Urbain: 0.0%",,"Rural, Semi-urbain"
Le mari souhaite espacer les naissances/ Asú tɔn jló na ɖè vǐjiji lɛ ɖó vo,"future_user: 3.06% 
 nonuser: 2.34% 
 past_user: 6.3% 
 user: 18.98%","future_user: 3 
 nonuser: 7 
 past_user: 8 
 user: 56","future_user: 0.0 
 nonuser: 2.6 
 past_user: 3.3 
 user: 35.3","future_user: 0.0% 
 nonuser: 0.0% 
 past_user: 0.0% 
 user: 12.2%",,Low,driver,"16-20: 3.45% 
 21-30: 9.15% 
 31-45: 9.31%","16-20: 1 
 21-30: 30 
 31-45: 43","16-20: 0.0 
 21-30: 15.2 
 31-45: 26.0","16-20: 0.0% 
 21-30: 3.96% 
 31-45: 4.98%",,"21-30, 31-45","Femme Nyɔnu: 4.91% 
 Homme Sunnu: 13.11%","Femme Nyɔnu: 20 
 Homme Sunnu: 54","Femme Nyɔnu: 7.7 
 Homme Sunnu: 33.5","Femme Nyɔnu: 1.23% 
 Homme Sunnu: 7.52%",,Homme Sunnu,"Rural: 9.44% 
 Semi-urbain: 9.34% 
 Urbain: 2.33%","Rural: 49 
 Semi-urbain: 24 
 Urbain: 1","Rural: 34.1 
 Semi-urbain: 5.1 
 Urbain: 1.9","Rural: 4.05% 
 Semi-urbain: 5.45% 
 Urbain: 2.33%",,"Rural, Semi-urbain, Urbain"
Meilleure prise en charge des enfants : capacité à éduquer/former les enfants/ Vǐ lɛ kpinkpɔn ganji: nǔwukpikpé bo na kplɔ́n nǔ/kplɔ́n vǐ lɛ,"future_user: 8.16% 
 nonuser: 0.67% 
 past_user: 4.72% 
 user: 13.56%","future_user: 8 
 nonuser: 2 
 past_user: 6 
 user: 40","future_user: 1.6 
 nonuser: 0.0 
 past_user: 0.5 
 user: 76.1","future_user: 0.0% 
 nonuser: 0.0% 
 past_user: 0.0% 
 user: 8.81%",,Very high,driver,"16-20: 0.0% 
 21-30: 6.4% 
 31-45: 7.58%","16-20: 0 
 21-30: 21 
 31-45: 35","16-20: 0.0 
 21-30: 9.6 
 31-45: 68.7","16-20: 3.45% 
 21-30: 3.05% 
 31-45: 3.25%",,"21-30, 31-45","Femme Nyɔnu: 3.69% 
 Homme Sunnu: 9.95%","Femme Nyɔnu: 15 
 Homme Sunnu: 41","Femme Nyɔnu: 49.5 
 Homme Sunnu: 28.8","Femme Nyɔnu: 1.23% 
 Homme Sunnu: 5.1%",,Homme Sunnu,"Rural: 7.71% 
 Semi-urbain: 5.45% 
 Urbain: 4.65%","Rural: 40 
 Semi-urbain: 14 
 Urbain: 2","Rural: 18.8 
 Semi-urbain: 57.8 
 Urbain: 1.7","Rural: 3.28% 
 Semi-urbain: 3.5% 
 Urbain: 0.0%",,"Rural, Semi-urbain"
Meilleure prise en charge des enfants : capacité à élever des enfants heureux/ Vǐ lɛ kpinkpɔn ɖagbe: nǔwukpikpé e è ɖó bo na kplɔ́n vǐ awǎjijɛnɔ lɛ é,"future_user: 4.08% 
 nonuser: 1.0% 
 past_user: 7.09% 
 user: 16.61%","future_user: 4 
 nonuser: 3 
 past_user: 9 
 user: 49","future_user: 3.1 
 nonuser: 1.6 
 past_user: 1.3 
 user: 88.2","future_user: 0.0% 
 nonuser: 0.0% 
 past_user: 0.0% 
 user: 8.14%",,High,driver,"16-20: 0.0% 
 21-30: 6.71% 
 31-45: 9.31%","16-20: 0 
 21-30: 22 
 31-45: 43","16-20: 0.0 
 21-30: 15.4 
 31-45: 78.8","16-20: 0.0% 
 21-30: 1.83% 
 31-45: 3.9%",,31-45,"Femme Nyɔnu: 4.18% 
 Homme Sunnu: 11.65%","Femme Nyɔnu: 17 
 Homme Sunnu: 48","Femme Nyɔnu: 42.5 
 Homme Sunnu: 51.7","Femme Nyɔnu: 1.23% 
 Homme Sunnu: 4.61%",,Homme Sunnu,"Rural: 7.9% 
 Semi-urbain: 7.78% 
 Urbain: 9.3%","Rural: 41 
 Semi-urbain: 20 
 Urbain: 4","Rural: 28.3 
 Semi-urbain: 61.2 
 Urbain: 4.7","Rural: 2.7% 
 Semi-urbain: 3.89% 
 Urbain: 0.0%",,Semi-urbain
Meilleure prise en charge des enfants : diminution de la capacité à s'occuper des enfants avec l'âge/Kplɔ́nmɛ nú vǐ lɛ ganji: nǔwukpikpé e è ɖó bo na kpé nukún dó vǐ lɛ wu é ɖiɖekpo ɖò xwè mɛ.,"future_user: 0.0% 
 nonuser: 1.34% 
 past_user: 2.36% 
 user: 6.78%","future_user: 0 
 nonuser: 4 
 past_user: 3 
 user: 20","future_user: 0.0 
 nonuser: 6.5 
 past_user: 1.9 
 user: 17.6","future_user: 0.0% 
 nonuser: 0.0% 
 past_user: 0.0% 
 user: 3.73%",,Low,driver,"16-20: 0.0% 
 21-30: 3.96% 
 31-45: 3.03%","16-20: 0 
 21-30: 13 
 31-45: 14","16-20: 0.0 
 21-30: 12.5 
 31-45: 13.6","16-20: 0.0% 
 21-30: 1.22% 
 31-45: 1.52%",,"21-30, 31-45","Femme Nyɔnu: 1.97% 
 Homme Sunnu: 4.61%","Femme Nyɔnu: 8 
 Homme Sunnu: 19","Femme Nyɔnu: 7.6 
 Homme Sunnu: 18.5","Femme Nyɔnu: 0.98% 
 Homme Sunnu: 1.7%",,"Femme Nyɔnu, Homme Sunnu","Rural: 4.05% 
 Semi-urbain: 1.95% 
 Urbain: 2.33%","Rural: 21 
 Semi-urbain: 5 
 Urbain: 1","Rural: 23.6 
 Semi-urbain: 1.0 
 Urbain: 1.5","Rural: 1.73% 
 Semi-urbain: 0.39% 
 Urbain: 2.33%",,"Rural, Urbain"
Meilleure prise en charge des enfants : la mère a plus de temps à consacrer à chaque enfant/ Vǐ lɛ kpinkpɔn ganji: nɔ ɔ nɔ ɖó hwenu gègě bo nɔ sɔ́ jó nú vǐ ɖokpo ɖokpo .,"future_user: 2.04% 
 nonuser: 1.0% 
 past_user: 4.72% 
 user: 11.19%","future_user: 2 
 nonuser: 3 
 past_user: 6 
 user: 33","future_user: 0.9 
 nonuser: 1.7 
 past_user: 3.0 
 user: 30.6","future_user: 0.0% 
 nonuser: 0.0% 
 past_user: 0.0% 
 user: 3.39%",,Low,driver,"16-20: 3.45% 
 21-30: 5.49% 
 31-45: 5.41%","16-20: 1 
 21-30: 18 
 31-45: 25","16-20: 1.5 
 21-30: 7.3 
 31-45: 27.5","16-20: 0.0% 
 21-30: 1.83% 
 31-45: 0.87%",,21-30,"Femme Nyɔnu: 2.21% 
 Homme Sunnu: 8.5%","Femme Nyɔnu: 9 
 Homme Sunnu: 35","Femme Nyɔnu: 3.0 
 Homme Sunnu: 33.2","Femme Nyɔnu: 0.49% 
 Homme Sunnu: 1.94%",,Homme Sunnu,"Rural: 6.74% 
 Semi-urbain: 3.11% 
 Urbain: 2.33%","Rural: 35 
 Semi-urbain: 8 
 Urbain: 1","Rural: 25.0 
 Semi-urbain: 9.7 
 Urbain: 1.5","Rural: 1.35% 
 Semi-urbain: 0.78% 
 Urbain: 2.33%",,"Rural, Urbain"
Meilleure prise en charge des enfants : meilleur lien/relation avec les enfants/ Vǐ lɛ kpinkpɔn ganji: kancica/kancica ɖagbe xá vǐ lɛ,"future_user: 1.02% 
 nonuser: 1.0% 
 past_user: 3.94% 
 user: 9.49%","future_user: 1 
 nonuser: 3 
 past_user: 5 
 user: 28","future_user: 0.1 
 nonuser: 0.4 
 past_user: 11.6 
 user: 29.1","future_user: 0.0% 
 nonuser: 0.0% 
 past_user: 0.0% 
 user: 3.39%",,Low,driver,"16-20: 3.45% 
 21-30: 3.96% 
 31-45: 4.98%","16-20: 1 
 21-30: 13 
 31-45: 23","16-20: 0.1 
 21-30: 6.4 
 31-45: 34.6","16-20: 0.0% 
 21-30: 1.83% 
 31-45: 0.87%",,21-30,"Femme Nyɔnu: 2.21% 
 Homme Sunnu: 6.8%","Femme Nyɔnu: 9 
 Homme Sunnu: 28","Femme Nyɔnu: 3.3 
 Homme Sunnu: 37.9","Femme Nyɔnu: 0.25% 
 Homme Sunnu: 2.18%",,Homme Sunnu,"Rural: 5.78% 
 Semi-urbain: 2.72% 
 Urbain: 0.0%","Rural: 30 
 Semi-urbain: 7 
 Urbain: 0","Rural: 21.4 
 Semi-urbain: 19.8 
 Urbain: 0.0","Rural: 0.96% 
 Semi-urbain: 1.95% 
 Urbain: 0.0%",,"Rural, Semi-urbain"
Meilleure prise en charge des enfants : paiement des produits de première nécessité tels que la nourriture et les vêtements/ Vǐ lɛ kpinkpɔn ganji: akwɛ súsú nú nǔ taji lɛ ɖi nǔɖuɖu kpo awu kpo,"future_user: 2.04% 
 nonuser: 0.67% 
 past_user: 2.36% 
 user: 8.14%","future_user: 2 
 nonuser: 2 
 past_user: 3 
 user: 24","future_user: 0.6 
 nonuser: 0.4 
 past_user: 2.4 
 user: 50.7","future_user: 0.0% 
 nonuser: 0.0% 
 past_user: 0.0% 
 user: 4.41%",,Low,driver,"16-20: 3.45% 
 21-30: 4.27% 
 31-45: 3.46%","16-20: 1 
 21-30: 14 
 31-45: 16","16-20: 0.2 
 21-30: 7.1 
 31-45: 46.8","16-20: 0.0% 
 21-30: 1.83% 
 31-45: 1.52%",,"21-30, 31-45","Femme Nyɔnu: 1.47% 
 Homme Sunnu: 6.07%","Femme Nyɔnu: 6 
 Homme Sunnu: 25","Femme Nyɔnu: 40.8 
 Homme Sunnu: 13.3","Femme Nyɔnu: 0.74% 
 Homme Sunnu: 2.43%",,Homme Sunnu,"Rural: 4.05% 
 Semi-urbain: 3.89% 
 Urbain: 0.0%","Rural: 21 
 Semi-urbain: 10 
 Urbain: 0","Rural: 10.5 
 Semi-urbain: 43.5 
 Urbain: 0.0","Rural: 1.54% 
 Semi-urbain: 1.56% 
 Urbain: 2.33%",,"Rural, Semi-urbain"
Meilleure prise en charge des enfants : éducation morale/ Vǐ lɛ kpinkpɔn ganji: walɔ ɖagbe kpinkplɔn,"future_user: 6.12% 
 nonuser: 1.34% 
 past_user: 3.15% 
 user: 12.2%","future_user: 6 
 nonuser: 4 
 past_user: 4 
 user: 36","future_user: 0.6 
 nonuser: 0.4 
 past_user: 0.6 
 user: 40.3","future_user: 0.0% 
 nonuser: 0.0% 
 past_user: 0.0% 
 user: 5.08%",,Low,driver,"16-20: 0.0% 
 21-30: 6.1% 
 31-45: 6.49%","16-20: 0 
 21-30: 20 
 31-45: 30","16-20: 0.0 
 21-30: 9.3 
 31-45: 32.6","16-20: 0.0% 
 21-30: 1.52% 
 31-45: 2.16%",,"21-30, 31-45","Femme Nyɔnu: 2.21% 
 Homme Sunnu: 9.95%","Femme Nyɔnu: 9 
 Homme Sunnu: 41","Femme Nyɔnu: 10.5 
 Homme Sunnu: 31.4","Femme Nyɔnu: 0.74% 
 Homme Sunnu: 2.91%",,Homme Sunnu,"Rural: 5.97% 
 Semi-urbain: 7.39% 
 Urbain: 0.0%","Rural: 31 
 Semi-urbain: 19 
 Urbain: 0","Rural: 17.7 
 Semi-urbain: 24.2 
 Urbain: 0.0","Rural: 1.73% 
 Semi-urbain: 2.33% 
 Urbain: 0.0%",,Semi-urbain
Méthode naturelle moins fiable/ Wlɛnwín jɔwamɔ tɔn e jí è ma sixu ɖeji dó ǎ é ɖé,"future_user: 4.08% 
 nonuser: 0.0% 
 past_user: 0.79% 
 user: 3.39%","future_user: 4 
 nonuser: 0 
 past_user: 1 
 user: 10","future_user: 4.6 
 nonuser: 0.0 
 past_user: 1.4 
 user: 8.0","future_user: 0.0% 
 nonuser: 0.0% 
 past_user: 0.0% 
 user: 1.36%",,Low,driver,"16-20: 0.0% 
 21-30: 1.52% 
 31-45: 2.16%","16-20: 0 
 21-30: 5 
 31-45: 10","16-20: 0.0 
 21-30: 4.2 
 31-45: 9.9","16-20: 0.0% 
 21-30: 1.22% 
 31-45: 0.0%",,"21-30, 31-45","Femme Nyɔnu: 0.49% 
 Homme Sunnu: 3.16%","Femme Nyɔnu: 2 
 Homme Sunnu: 13","Femme Nyɔnu: 0.3 
 Homme Sunnu: 13.7","Femme Nyɔnu: 0.0% 
 Homme Sunnu: 0.97%",,Homme Sunnu,"Rural: 2.5% 
 Semi-urbain: 0.39% 
 Urbain: 2.33%","Rural: 13 
 Semi-urbain: 1 
 Urbain: 1","Rural: 12.4 
 Semi-urbain: 0.2 
 Urbain: 1.5","Rural: 0.77% 
 Semi-urbain: 0.0% 
 Urbain: 0.0%",,Rural
