Name,Prevalence (All),N (All),Weighted N (All),Prevalence (Most important driver/barrier),Statements,Priority,Driver/Barrier,AGE_GROUP: Prevalence (All),AGE_GROUP: N (All),AGE_GROUP: Weighted N (All),AGE_GROUP: Prevalence (Most important driver/barrier),AGE_GROUP: Statements,AGE Focus,GENDER: Prevalence (All),GENDER: N (All),GENDER: Weighted N (All),GENDER: Prevalence (Most important driver/barrier),GENDER: Statements,GENDER Focus,URBAN_RURAL: Prevalence (All),URBAN_RURAL: N (All),URBAN_RURAL: Weighted N (All),URBAN_RURAL: Prevalence (Most important driver/barrier),URBAN_RURAL: Statements,URBAN_RURAL Focus,REGION: Prevalence (All),REGION: N (All),REGION: Weighted N (All),REGION: Prevalence (Most important driver/barrier),REGION: Statements,REGION Focus
Bonne situation financière de la famille : aide/soutien aux autres/ Ninɔmɛ akwɛ tɔn ɖagbe nú xwédo ɔ: alɔdó/alɔgɔ nú mɛ ɖevo lɛ,"future_user: 4.08% 
 nonuser: 2.98% 
 past_user: 5.47% 
 user: 13.71%","future_user: 4 
 nonuser: 9 
 past_user: 7 
 user: 41","future_user: 0.5 
 nonuser: 3.3 
 past_user: 3.1 
 user: 24.8","future_user: 0.0% 
 nonuser: 0.0% 
 past_user: 0.0% 
 user: 7.69%",,Low,driver,"16-20: 3.45% 
 21-30: 8.18% 
 31-45: 7.05%","16-20: 1 
 21-30: 27 
 31-45: 33","16-20: 0.1 
 21-30: 12.7 
 31-45: 18.9","16-20: 0.0% 
 21-30: 2.73% 
 31-45: 2.99%",,"21-30, 31-45","Femme Nyɔnu: 7.3% 
 Homme Sunnu: 7.45%","Femme Nyɔnu: 30 
 Homme Sunnu: 31","Femme Nyɔnu: 9.8 
 Homme Sunnu: 21.9","Femme Nyɔnu: 3.16% 
 Homme Sunnu: 2.4%",,"Femme Nyɔnu, Homme Sunnu","Rural: 9.54% 
 Semi-urbain: 3.46% 
 Urbain: 4.65%","Rural: 50 
 Semi-urbain: 9 
 Urbain: 2","Rural: 24.4 
 Semi-urbain: 4.3 
 Urbain: 3.0","Rural: 3.82% 
 Semi-urbain: 1.15% 
 Urbain: 0.0%",,Rural,"Mid-South: 1.44% 
 North-East: 6.92% 
 North-West: 0.0% 
 South-South: 11.49%","Mid-South: 3 
 North-East: 11 
 North-West: 0 
 South-South: 47","Mid-South: 0.1 
 North-East: 15.0 
 North-West: 0.0 
 South-South: 16.7","Mid-South: 0.96% 
 North-East: 1.89% 
 North-West: 0.0% 
 South-South: 4.4%",,"North-East, South-South"
Bonne situation financière de la famille : réduction des difficultés économiques/ Ninɔmɛ akwɛ tɔn ɖagbe nú xwédo ɔ: tagba akwɛ tɔn lɛ ɖiɖekpo,"future_user: 11.22% 
 nonuser: 1.99% 
 past_user: 9.38% 
 user: 20.4%","future_user: 11 
 nonuser: 6 
 past_user: 12 
 user: 61","future_user: 2.6 
 nonuser: 3.9 
 past_user: 2.2 
 user: 54.6","future_user: 0.0% 
 nonuser: 0.0% 
 past_user: 0.0% 
 user: 9.03%",,High,driver,"16-20: 6.9% 
 21-30: 11.52% 
 31-45: 10.68%","16-20: 2 
 21-30: 38 
 31-45: 50","16-20: 0.1 
 21-30: 14.6 
 31-45: 48.5","16-20: 0.0% 
 21-30: 1.52% 
 31-45: 4.7%",,31-45,"Femme Nyɔnu: 11.68% 
 Homme Sunnu: 10.1%","Femme Nyɔnu: 48 
 Homme Sunnu: 42","Femme Nyɔnu: 23.1 
 Homme Sunnu: 40.2","Femme Nyɔnu: 3.65% 
 Homme Sunnu: 2.88%",,"Femme Nyɔnu, Homme Sunnu","Rural: 12.4% 
 Semi-urbain: 8.46% 
 Urbain: 6.98%","Rural: 65 
 Semi-urbain: 22 
 Urbain: 3","Rural: 26.7 
 Semi-urbain: 32.2 
 Urbain: 4.3","Rural: 3.05% 
 Semi-urbain: 3.85% 
 Urbain: 2.33%",,"Rural, Semi-urbain, Urbain","Mid-South: 7.66% 
 North-East: 6.29% 
 North-West: 0.0% 
 South-South: 15.65%","Mid-South: 16 
 North-East: 10 
 North-West: 0 
 South-South: 64","Mid-South: 22.2 
 North-East: 15.3 
 North-West: 0.0 
 South-South: 25.8","Mid-South: 3.35% 
 North-East: 2.52% 
 North-West: 0.0% 
 South-South: 3.91%",,"Mid-South, South-South"
"Cycle menstruel irrégulier (au-delà de 28-32 jours), donc ne peut pas se fier aux méthodes calendaires/ Sunzán tɔn nɔ wá hwɛhwɛ ǎ (é nɔ xɔ azǎn kanɖé-tantɔn jɛ gban-nukún-we jɛji), enɛ wu ɔ, é sixu ganjɛ wlɛnwín sunzanwema tɔn lɛ wu ǎ","future_user: 1.02% 
 nonuser: 0.0% 
 past_user: 1.56% 
 user: 0.67%","future_user: 1 
 nonuser: 0 
 past_user: 2 
 user: 2","future_user: 0.2 
 nonuser: 0.0 
 past_user: 1.3 
 user: 0.9","future_user: 0.0% 
 nonuser: 0.0% 
 past_user: 0.0% 
 user: 0.0%",,Low,driver,"16-20: 0.0% 
 21-30: 0.61% 
 31-45: 0.64%","16-20: 0 
 21-30: 2 
 31-45: 3","16-20: 0.0 
 21-30: 0.6 
 31-45: 1.7","16-20: 0.0% 
 21-30: 0.0% 
 31-45: 0.0%",,"21-30, 31-45","Femme Nyɔnu: 0.97% 
 Homme Sunnu: 0.24%","Femme Nyɔnu: 4 
 Homme Sunnu: 1","Femme Nyɔnu: 1.9 
 Homme Sunnu: 0.5","Femme Nyɔnu: 0.0% 
 Homme Sunnu: 0.0%",,Femme Nyɔnu,"Rural: 0.57% 
 Semi-urbain: 0.38% 
 Urbain: 2.33%","Rural: 3 
 Semi-urbain: 1 
 Urbain: 1","Rural: 0.7 
 Semi-urbain: 0.4 
 Urbain: 1.3","Rural: 0.0% 
 Semi-urbain: 0.0% 
 Urbain: 0.0%",,Urbain,"Mid-South: 0.48% 
 North-East: 0.63% 
 North-West: 0.0% 
 South-South: 0.73%","Mid-South: 1 
 North-East: 1 
 North-West: 0 
 South-South: 3","Mid-South: 0.0 
 North-East: 1.3 
 North-West: 0.0 
 South-South: 1.1","Mid-South: 0.0% 
 North-East: 0.0% 
 North-West: 0.0% 
 South-South: 0.0%",,"North-East, South-South"
Davantage de respect entre les enfants (grâce à une différence d’âge plus grande)/ Mɛsísí nɔ sukpɔ́ ɖò vǐ lɛ tɛntin (ɖó vogbingbɔn e ɖò vǐ lɛ tɛntin é wutu),"future_user: 2.04% 
 nonuser: 0.33% 
 past_user: 0.0% 
 user: 2.68%","future_user: 2 
 nonuser: 1 
 past_user: 0 
 user: 8","future_user: 1.6 
 nonuser: 0.1 
 past_user: 0.0 
 user: 3.9","future_user: 0.0% 
 nonuser: 0.0% 
 past_user: 0.0% 
 user: 0.67%",,Low,driver,"16-20: 0.0% 
 21-30: 0.61% 
 31-45: 1.92%","16-20: 0 
 21-30: 2 
 31-45: 9","16-20: 0.0 
 21-30: 0.9 
 31-45: 4.7","16-20: 0.0% 
 21-30: 0.3% 
 31-45: 0.21%",,"21-30, 31-45","Femme Nyɔnu: 0.0% 
 Homme Sunnu: 2.64%","Femme Nyɔnu: 0 
 Homme Sunnu: 11","Femme Nyɔnu: 0.0 
 Homme Sunnu: 5.6","Femme Nyɔnu: 0.24% 
 Homme Sunnu: 0.24%",,Homme Sunnu,"Rural: 1.34% 
 Semi-urbain: 1.15% 
 Urbain: 2.33%","Rural: 7 
 Semi-urbain: 3 
 Urbain: 1","Rural: 3.2 
 Semi-urbain: 1.1 
 Urbain: 1.3","Rural: 0.0% 
 Semi-urbain: 0.77% 
 Urbain: 0.0%",,"Semi-urbain, Urbain","Mid-South: 0.48% 
 North-East: 2.52% 
 North-West: 0.0% 
 South-South: 1.47%","Mid-South: 1 
 North-East: 4 
 North-West: 0 
 South-South: 6","Mid-South: 0.0 
 North-East: 4.1 
 North-West: 0.0 
 South-South: 1.5","Mid-South: 0.0% 
 North-East: 0.0% 
 North-West: 0.0% 
 South-South: 0.49%",,"North-East, South-South"
"Impossibilité de suivre son cycle menstruel naturel car n’est pas allée à l’école et ne sait pas compter/ É sixu xwedó sun e é nɔ mɔ ɖò jɔwamɔ linu é ǎ, ɖó é yì wemaxɔmɛ ǎ, bo ka sixu lɛ́ xà ǎ","future_user: 3.06% 
 nonuser: 0.33% 
 past_user: 1.56% 
 user: 1.0%","future_user: 3 
 nonuser: 1 
 past_user: 2 
 user: 3","future_user: 4.0 
 nonuser: 0.2 
 past_user: 1.1 
 user: 0.5","future_user: 0.0% 
 nonuser: 0.0% 
 past_user: 0.0% 
 user: 0.0%",,Low,driver,"16-20: 6.9% 
 21-30: 1.52% 
 31-45: 0.43%","16-20: 2 
 21-30: 5 
 31-45: 2","16-20: 0.2 
 21-30: 5.5 
 31-45: 0.0","16-20: 0.0% 
 21-30: 0.0% 
 31-45: 0.0%",,16-20,"Femme Nyɔnu: 1.7% 
 Homme Sunnu: 0.48%","Femme Nyɔnu: 7 
 Homme Sunnu: 2","Femme Nyɔnu: 5.7 
 Homme Sunnu: 0.1","Femme Nyɔnu: 0.0% 
 Homme Sunnu: 0.0%",,Femme Nyɔnu,"Rural: 1.53% 
 Semi-urbain: 0.38% 
 Urbain: 0.0%","Rural: 8 
 Semi-urbain: 1 
 Urbain: 0","Rural: 5.5 
 Semi-urbain: 0.2 
 Urbain: 0.0","Rural: 0.0% 
 Semi-urbain: 0.0% 
 Urbain: 0.0%",,Rural,"Mid-South: 1.91% 
 North-East: 0.0% 
 North-West: 4.0% 
 South-South: 0.73%","Mid-South: 4 
 North-East: 0 
 North-West: 2 
 South-South: 3","Mid-South: 0.1 
 North-East: 0.0 
 North-West: 5.0 
 South-South: 0.6","Mid-South: 0.0% 
 North-East: 0.0% 
 North-West: 0.0% 
 South-South: 0.0%",,North-West
Je ne sais pas/ Un ma tuùn a,"future_user: 9.18% 
 nonuser: 27.81% 
 past_user: 8.59% 
 user: 0.67%","future_user: 9 
 nonuser: 84 
 past_user: 11 
 user: 2","future_user: 6.9 
 nonuser: 52.9 
 past_user: 10.2 
 user: 0.3","future_user: 0.0% 
 nonuser: 0.0% 
 past_user: 0.0% 
 user: 1.0%",,Medium,driver,"16-20: 10.34% 
 21-30: 10.91% 
 31-45: 14.32%","16-20: 3 
 21-30: 36 
 31-45: 67","16-20: 0.1 
 21-30: 26.8 
 31-45: 43.3","16-20: 0.0% 
 21-30: 0.3% 
 31-45: 0.43%",,31-45,"Femme Nyɔnu: 12.41% 
 Homme Sunnu: 13.22%","Femme Nyɔnu: 51 
 Homme Sunnu: 55","Femme Nyɔnu: 35.3 
 Homme Sunnu: 34.9","Femme Nyɔnu: 0.49% 
 Homme Sunnu: 0.24%",,"Femme Nyɔnu, Homme Sunnu","Rural: 12.02% 
 Semi-urbain: 14.23% 
 Urbain: 13.95%","Rural: 63 
 Semi-urbain: 37 
 Urbain: 6","Rural: 45.6 
 Semi-urbain: 14.6 
 Urbain: 9.9","Rural: 0.38% 
 Semi-urbain: 0.38% 
 Urbain: 0.0%",,"Rural, Semi-urbain","Mid-South: 7.66% 
 North-East: 12.58% 
 North-West: 8.0% 
 South-South: 16.14%","Mid-South: 16 
 North-East: 20 
 North-West: 4 
 South-South: 66","Mid-South: 0.4 
 North-East: 39.3 
 North-West: 9.3 
 South-South: 21.3","Mid-South: 0.0% 
 North-East: 0.0% 
 North-West: 0.0% 
 South-South: 0.73%",,South-South
Je préfère ne pas répondre/ Un yí wǎn nú xósin ma yí gbe ǎ,"future_user: 5.1% 
 nonuser: 42.38% 
 past_user: 18.75% 
 user: 0.67%","future_user: 5 
 nonuser: 128 
 past_user: 24 
 user: 2","future_user: 5.1 
 nonuser: 186.8 
 past_user: 79.6 
 user: 1.5","future_user: 0.0% 
 nonuser: 0.0% 
 past_user: 0.0% 
 user: 0.0%",,Very high,driver,"16-20: 31.03% 
 21-30: 18.79% 
 31-45: 18.8%","16-20: 9 
 21-30: 62 
 31-45: 88","16-20: 14.0 
 21-30: 71.1 
 31-45: 188.0","16-20: 0.0% 
 21-30: 0.0% 
 31-45: 0.0%",,16-20,"Femme Nyɔnu: 17.03% 
 Homme Sunnu: 21.39%","Femme Nyɔnu: 70 
 Homme Sunnu: 89","Femme Nyɔnu: 109.9 
 Homme Sunnu: 163.2","Femme Nyɔnu: 0.0% 
 Homme Sunnu: 0.0%",,"Femme Nyɔnu, Homme Sunnu","Rural: 17.37% 
 Semi-urbain: 21.15% 
 Urbain: 30.23%","Rural: 91 
 Semi-urbain: 55 
 Urbain: 13","Rural: 120.2 
 Semi-urbain: 133.5 
 Urbain: 19.3","Rural: 0.0% 
 Semi-urbain: 0.0% 
 Urbain: 0.0%",,"Rural, Semi-urbain, Urbain","Mid-South: 41.15% 
 North-East: 32.7% 
 North-West: 14.0% 
 South-South: 3.42%","Mid-South: 86 
 North-East: 52 
 North-West: 7 
 South-South: 14","Mid-South: 133.7 
 North-East: 95.7 
 North-West: 41.0 
 South-South: 2.6","Mid-South: 0.0% 
 North-East: 0.0% 
 North-West: 0.0% 
 South-South: 0.0%",,"Mid-South, North-East"
La mère a davantage de temps en dehors des enfants : davantage de temps pour sa carrière/ Nɔ ɔ nɔ ɖó hwenu gègě ɖò vǐ lɛ gudo: hwenu gègě nú azɔ̌ tɔn,"future_user: 2.04% 
 nonuser: 0.66% 
 past_user: 3.12% 
 user: 6.02%","future_user: 2 
 nonuser: 2 
 past_user: 4 
 user: 18","future_user: 0.3 
 nonuser: 2.6 
 past_user: 0.8 
 user: 14.0","future_user: 0.0% 
 nonuser: 0.0% 
 past_user: 0.0% 
 user: 2.01%",,Low,driver,"16-20: 0.0% 
 21-30: 3.94% 
 31-45: 2.78%","16-20: 0 
 21-30: 13 
 31-45: 13","16-20: 0.0 
 21-30: 6.8 
 31-45: 10.9","16-20: 0.0% 
 21-30: 0.3% 
 31-45: 1.07%",,"21-30, 31-45","Femme Nyɔnu: 2.19% 
 Homme Sunnu: 4.09%","Femme Nyɔnu: 9 
 Homme Sunnu: 17","Femme Nyɔnu: 2.3 
 Homme Sunnu: 15.4","Femme Nyɔnu: 0.97% 
 Homme Sunnu: 0.48%",,"Femme Nyɔnu, Homme Sunnu","Rural: 4.01% 
 Semi-urbain: 1.15% 
 Urbain: 4.65%","Rural: 21 
 Semi-urbain: 3 
 Urbain: 2","Rural: 14.4 
 Semi-urbain: 0.7 
 Urbain: 2.6","Rural: 0.95% 
 Semi-urbain: 0.0% 
 Urbain: 2.33%",,Urbain,"Mid-South: 0.96% 
 North-East: 6.92% 
 North-West: 0.0% 
 South-South: 3.18%","Mid-South: 2 
 North-East: 11 
 North-West: 0 
 South-South: 13","Mid-South: 0.0 
 North-East: 14.3 
 North-West: 0.0 
 South-South: 3.4","Mid-South: 0.0% 
 North-East: 1.26% 
 North-West: 2.0% 
 South-South: 0.73%",,"North-East, North-West"
La mère a davantage de temps en dehors des enfants : davantage de temps pour suivre les pratiques religieuses/ Nɔ ɔ nɔ ɖó hwenu gègě ɖò vǐ lɛ gudo: é nɔ ɖó hwenu gègě nú sinsɛnzɔ́ lɛ,"future_user: 2.04% 
 nonuser: 0.0% 
 past_user: 1.56% 
 user: 3.01%","future_user: 2 
 nonuser: 0 
 past_user: 2 
 user: 9","future_user: 1.3 
 nonuser: 0.0 
 past_user: 1.7 
 user: 5.6","future_user: 0.0% 
 nonuser: 0.0% 
 past_user: 0.0% 
 user: 1.34%",,Low,driver,"16-20: 0.0% 
 21-30: 1.82% 
 31-45: 1.5%","16-20: 0 
 21-30: 6 
 31-45: 7","16-20: 0.0 
 21-30: 4.5 
 31-45: 4.1","16-20: 0.0% 
 21-30: 0.91% 
 31-45: 0.21%",,"21-30, 31-45","Femme Nyɔnu: 0.49% 
 Homme Sunnu: 2.64%","Femme Nyɔnu: 2 
 Homme Sunnu: 11","Femme Nyɔnu: 1.0 
 Homme Sunnu: 7.6","Femme Nyɔnu: 0.24% 
 Homme Sunnu: 0.72%",,Homme Sunnu,"Rural: 2.29% 
 Semi-urbain: 0.38% 
 Urbain: 0.0%","Rural: 12 
 Semi-urbain: 1 
 Urbain: 0","Rural: 8.5 
 Semi-urbain: 0.1 
 Urbain: 0.0","Rural: 0.76% 
 Semi-urbain: 0.0% 
 Urbain: 0.0%",,Rural,"Mid-South: 0.48% 
 North-East: 5.66% 
 North-West: 0.0% 
 South-South: 0.73%","Mid-South: 1 
 North-East: 9 
 North-West: 0 
 South-South: 3","Mid-South: 0.0 
 North-East: 8.3 
 North-West: 0.0 
 South-South: 0.3","Mid-South: 0.0% 
 North-East: 1.89% 
 North-West: 0.0% 
 South-South: 0.24%",,North-East
La mère a davantage de temps en dehors des enfants : maison propre/ Nɔ ɔ nɔ ɖó hwenu gègě ɖò vǐ lɛ sín kɔ́xota: xwé e mɛ́ é ɖé,"future_user: 3.06% 
 nonuser: 0.33% 
 past_user: 1.56% 
 user: 5.35%","future_user: 3 
 nonuser: 1 
 past_user: 2 
 user: 16","future_user: 0.3 
 nonuser: 0.2 
 past_user: 0.1 
 user: 16.6","future_user: 0.0% 
 nonuser: 0.0% 
 past_user: 0.0% 
 user: 3.01%",,Low,driver,"16-20: 3.45% 
 21-30: 3.64% 
 31-45: 1.92%","16-20: 1 
 21-30: 12 
 31-45: 9","16-20: 0.0 
 21-30: 6.8 
 31-45: 10.4","16-20: 0.0% 
 21-30: 1.52% 
 31-45: 0.85%",,21-30,"Femme Nyɔnu: 1.22% 
 Homme Sunnu: 4.09%","Femme Nyɔnu: 5 
 Homme Sunnu: 17","Femme Nyɔnu: 7.8 
 Homme Sunnu: 9.4","Femme Nyɔnu: 0.49% 
 Homme Sunnu: 1.68%",,Homme Sunnu,"Rural: 3.82% 
 Semi-urbain: 0.38% 
 Urbain: 2.33%","Rural: 20 
 Semi-urbain: 1 
 Urbain: 1","Rural: 15.9 
 Semi-urbain: 0.0 
 Urbain: 1.3","Rural: 0.76% 
 Semi-urbain: 1.92% 
 Urbain: 0.0%",,"Rural, Semi-urbain","Mid-South: 1.44% 
 North-East: 4.4% 
 North-West: 4.0% 
 South-South: 2.44%","Mid-South: 3 
 North-East: 7 
 North-West: 2 
 South-South: 10","Mid-South: 0.0 
 North-East: 6.3 
 North-West: 7.6 
 South-South: 3.2","Mid-South: 0.96% 
 North-East: 1.89% 
 North-West: 0.0% 
 South-South: 0.98%",,"North-East, North-West"
Le mari souhaite espacer les naissances/ Asú tɔn jló na ɖè vǐjiji lɛ ɖó vo,"future_user: 3.06% 
 nonuser: 2.32% 
 past_user: 6.25% 
 user: 19.4%","future_user: 3 
 nonuser: 7 
 past_user: 8 
 user: 58","future_user: 0.1 
 nonuser: 2.3 
 past_user: 4.0 
 user: 34.2","future_user: 0.0% 
 nonuser: 0.0% 
 past_user: 0.0% 
 user: 12.04%",,Low,driver,"16-20: 3.45% 
 21-30: 9.39% 
 31-45: 9.4%","16-20: 1 
 21-30: 31 
 31-45: 44","16-20: 0.0 
 21-30: 15.3 
 31-45: 25.4","16-20: 0.0% 
 21-30: 3.94% 
 31-45: 4.91%",,"21-30, 31-45","Femme Nyɔnu: 5.11% 
 Homme Sunnu: 13.22%","Femme Nyɔnu: 21 
 Homme Sunnu: 55","Femme Nyɔnu: 8.2 
 Homme Sunnu: 32.6","Femme Nyɔnu: 1.22% 
 Homme Sunnu: 7.45%",,Homme Sunnu,"Rural: 9.73% 
 Semi-urbain: 9.23% 
 Urbain: 2.33%","Rural: 51 
 Semi-urbain: 24 
 Urbain: 1","Rural: 32.0 
 Semi-urbain: 7.0 
 Urbain: 1.7","Rural: 4.01% 
 Semi-urbain: 5.38% 
 Urbain: 2.33%",,"Rural, Semi-urbain, Urbain","Mid-South: 4.78% 
 North-East: 1.89% 
 North-West: 28.0% 
 South-South: 11.98%","Mid-South: 10 
 North-East: 3 
 North-West: 14 
 South-South: 49","Mid-South: 0.2 
 North-East: 2.9 
 North-West: 20.0 
 South-South: 17.5","Mid-South: 1.44% 
 North-East: 0.0% 
 North-West: 18.0% 
 South-South: 5.87%",,North-West
Meilleure prise en charge des enfants : capacité à éduquer/former les enfants/ Vǐ lɛ kpinkpɔn ganji: nǔwukpikpé bo na kplɔ́n nǔ/kplɔ́n vǐ lɛ,"future_user: 8.16% 
 nonuser: 0.66% 
 past_user: 4.69% 
 user: 14.38%","future_user: 8 
 nonuser: 2 
 past_user: 6 
 user: 43","future_user: 1.8 
 nonuser: 0.0 
 past_user: 0.6 
 user: 85.2","future_user: 0.0% 
 nonuser: 0.0% 
 past_user: 0.0% 
 user: 8.7%",,Very high,driver,"16-20: 0.0% 
 21-30: 6.97% 
 31-45: 7.69%","16-20: 0 
 21-30: 23 
 31-45: 36","16-20: 0.0 
 21-30: 10.1 
 31-45: 77.6","16-20: 3.45% 
 21-30: 3.03% 
 31-45: 3.21%",,"21-30, 31-45","Femme Nyɔnu: 4.14% 
 Homme Sunnu: 10.1%","Femme Nyɔnu: 17 
 Homme Sunnu: 42","Femme Nyɔnu: 58.6 
 Homme Sunnu: 29.0","Femme Nyɔnu: 1.22% 
 Homme Sunnu: 5.05%",,Homme Sunnu,"Rural: 8.02% 
 Semi-urbain: 5.77% 
 Urbain: 4.65%","Rural: 42 
 Semi-urbain: 15 
 Urbain: 2","Rural: 17.9 
 Semi-urbain: 68.0 
 Urbain: 1.7","Rural: 3.24% 
 Semi-urbain: 3.46% 
 Urbain: 0.0%",,"Rural, Semi-urbain","Mid-South: 8.61% 
 North-East: 8.18% 
 North-West: 4.0% 
 South-South: 6.36%","Mid-South: 18 
 North-East: 13 
 North-West: 2 
 South-South: 26","Mid-South: 66.1 
 North-East: 11.7 
 North-West: 2.2 
 South-South: 7.6","Mid-South: 4.78% 
 North-East: 5.66% 
 North-West: 4.0% 
 South-South: 1.22%",,North-East
Meilleure prise en charge des enfants : capacité à élever des enfants heureux/ Vǐ lɛ kpinkpɔn ɖagbe: nǔwukpikpé e è ɖó bo na kplɔ́n vǐ awǎjijɛnɔ lɛ é,"future_user: 4.08% 
 nonuser: 0.99% 
 past_user: 7.03% 
 user: 17.06%","future_user: 4 
 nonuser: 3 
 past_user: 9 
 user: 51","future_user: 3.1 
 nonuser: 1.4 
 past_user: 1.2 
 user: 93.4","future_user: 0.0% 
 nonuser: 0.0% 
 past_user: 0.0% 
 user: 8.36%",,High,driver,"16-20: 0.0% 
 21-30: 6.97% 
 31-45: 9.4%","16-20: 0 
 21-30: 23 
 31-45: 44","16-20: 0.0 
 21-30: 14.5 
 31-45: 84.6","16-20: 0.0% 
 21-30: 2.12% 
 31-45: 3.85%",,31-45,"Femme Nyɔnu: 4.38% 
 Homme Sunnu: 11.78%","Femme Nyɔnu: 18 
 Homme Sunnu: 49","Femme Nyɔnu: 49.1 
 Homme Sunnu: 49.9","Femme Nyɔnu: 1.46% 
 Homme Sunnu: 4.57%",,Homme Sunnu,"Rural: 8.02% 
 Semi-urbain: 8.08% 
 Urbain: 9.3%","Rural: 42 
 Semi-urbain: 21 
 Urbain: 4","Rural: 23.3 
 Semi-urbain: 71.3 
 Urbain: 4.4","Rural: 2.67% 
 Semi-urbain: 4.23% 
 Urbain: 0.0%",,Semi-urbain,"Mid-South: 8.61% 
 North-East: 9.43% 
 North-West: 6.0% 
 South-South: 7.58%","Mid-South: 18 
 North-East: 15 
 North-West: 3 
 South-South: 31","Mid-South: 66.2 
 North-East: 17.4 
 North-West: 3.5 
 South-South: 11.9","Mid-South: 3.83% 
 North-East: 4.4% 
 North-West: 0.0% 
 South-South: 2.44%",,"Mid-South, North-East"
Meilleure prise en charge des enfants : diminution de la capacité à s'occuper des enfants avec l'âge/Kplɔ́nmɛ nú vǐ lɛ ganji: nǔwukpikpé e è ɖó bo na kpé nukún dó vǐ lɛ wu é ɖiɖekpo ɖò xwè mɛ.,"future_user: 0.0% 
 nonuser: 1.32% 
 past_user: 2.34% 
 user: 6.69%","future_user: 0 
 nonuser: 4 
 past_user: 3 
 user: 20","future_user: 0.0 
 nonuser: 5.8 
 past_user: 1.8 
 user: 15.8","future_user: 0.0% 
 nonuser: 0.0% 
 past_user: 0.0% 
 user: 3.68%",,Low,driver,"16-20: 0.0% 
 21-30: 3.94% 
 31-45: 2.99%","16-20: 0 
 21-30: 13 
 31-45: 14","16-20: 0.0 
 21-30: 10.9 
 31-45: 12.4","16-20: 0.0% 
 21-30: 1.21% 
 31-45: 1.5%",,"21-30, 31-45","Femme Nyɔnu: 1.95% 
 Homme Sunnu: 4.57%","Femme Nyɔnu: 8 
 Homme Sunnu: 19","Femme Nyɔnu: 6.3 
 Homme Sunnu: 17.1","Femme Nyɔnu: 0.97% 
 Homme Sunnu: 1.68%",,"Femme Nyɔnu, Homme Sunnu","Rural: 4.01% 
 Semi-urbain: 1.92% 
 Urbain: 2.33%","Rural: 21 
 Semi-urbain: 5 
 Urbain: 1","Rural: 20.3 
 Semi-urbain: 1.7 
 Urbain: 1.3","Rural: 1.72% 
 Semi-urbain: 0.38% 
 Urbain: 2.33%",,"Rural, Urbain","Mid-South: 0.48% 
 North-East: 5.03% 
 North-West: 8.0% 
 South-South: 3.42%","Mid-South: 1 
 North-East: 8 
 North-West: 4 
 South-South: 14","Mid-South: 0.1 
 North-East: 11.9 
 North-West: 7.4 
 South-South: 3.9","Mid-South: 0.48% 
 North-East: 1.89% 
 North-West: 2.0% 
 South-South: 1.47%",,North-West
Meilleure prise en charge des enfants : la mère a plus de temps à consacrer à chaque enfant/ Vǐ lɛ kpinkpɔn ganji: nɔ ɔ nɔ ɖó hwenu gègě bo nɔ sɔ́ jó nú vǐ ɖokpo ɖokpo .,"future_user: 2.04% 
 nonuser: 0.99% 
 past_user: 4.69% 
 user: 11.37%","future_user: 2 
 nonuser: 3 
 past_user: 6 
 user: 34","future_user: 0.8 
 nonuser: 1.6 
 past_user: 2.7 
 user: 30.0","future_user: 0.0% 
 nonuser: 0.0% 
 past_user: 0.0% 
 user: 3.34%",,Low,driver,"16-20: 3.45% 
 21-30: 5.76% 
 31-45: 5.34%","16-20: 1 
 21-30: 19 
 31-45: 25","16-20: 1.3 
 21-30: 6.8 
 31-45: 26.9","16-20: 0.0% 
 21-30: 1.82% 
 31-45: 0.85%",,21-30,"Femme Nyɔnu: 2.43% 
 Homme Sunnu: 8.41%","Femme Nyɔnu: 10 
 Homme Sunnu: 35","Femme Nyɔnu: 2.6 
 Homme Sunnu: 32.5","Femme Nyɔnu: 0.49% 
 Homme Sunnu: 1.92%",,Homme Sunnu,"Rural: 6.68% 
 Semi-urbain: 3.46% 
 Urbain: 2.33%","Rural: 35 
 Semi-urbain: 9 
 Urbain: 1","Rural: 22.0 
 Semi-urbain: 11.8 
 Urbain: 1.3","Rural: 1.34% 
 Semi-urbain: 0.77% 
 Urbain: 2.33%",,"Rural, Urbain","Mid-South: 5.26% 
 North-East: 8.18% 
 North-West: 6.0% 
 South-South: 4.4%","Mid-South: 11 
 North-East: 13 
 North-West: 3 
 South-South: 18","Mid-South: 11.1 
 North-East: 16.2 
 North-West: 3.3 
 South-South: 4.4","Mid-South: 0.48% 
 North-East: 3.77% 
 North-West: 0.0% 
 South-South: 0.73%",,North-East
